route_id,route_name
0100000A00,0東 
0100000B00,0南 
454015340,F153-0820 
454015350,F153-1030 
454015360,F153-1605 
454015370,F153-1730 
454016100,F161 
454020100,F201 
454020200,F202 
454020500,F205 
454020600,F206 
454020700,F207 
454021100,F211 
454021200,F212 
454021210,F212副 
454021290,F212楓江 
454021300,F213 
454021370,F213黎明 
454021700,F217 
454021800,F218 
454023300,F233 
454023500,F235 
454023600,F236 
454023700,F237 
454023800,F238 
454023900,F239 
454025000,F250 
454030190,F301 
454030200,F302 
454030300,F303 
454031200,F312 
454031700,F317 
454031900,F319 
454032000,F320 
454051200,F512 
454051210,F512副 
454051300,F513 
454052100,F521 
454052200,F522 
454052300,F523 
454052500,F525 
454052600,F526 
454061100,F611 
454062300,F623 
454062500,F625 
454062680,F626-0815 
454062600,F626 
454062700,F627 
454062800,F628 
454062900,F629 
454063000,F630 
454065100,F651 
454065200,F652 
454065290,幸福巴士F652延伸線 
454065300,F653A 
454065370,F653B 
454065500,F655 
454065600,F656 
454065700,F657 
454070300,F703 
454070390,F703前三班 
454071100,F711 
454071200,F712 
454071300,F713 
454072100,F721 
454072200,F722 
454072300,F723 
454072380,F723上石嘈 
454072390,F723下石嘈 
454072400,F724 
454080100,F801 
454080200,F802 
454080300,F803 
454080500,F805 
454080600,F806 
454080700,F807 
454080800,F808 
454081100,F811 
454081200,F812 
454081300,F813 
454081500,F815 
454081570,F815嶺頭觀目 
454081600,F816 
454082100,F821 
454082200,F822 
454082300,F823 
454082320,F823區 
454082500,F825 
454083500,F835 
454083600,F836 
454083700,F837 
454083800,F838 
454083900,F839 
454090100,F901 
454090200,F902 
454090300,F903 
454090500,F905 
454090700,F907 
454090990,F909伯爵 
454091000,F910 
454091100,F911 
454091300,F913 
454091500,F915 
454090900,F919八連 
454092090,F920 
454092100,F921 
454092160,F921假日 
454092200,F922內崁 
454092210,F922北基 
454092270,F922烏塗炭 
454092300,F923 
454092360,F923假日 
454093180,F931-0600 
454093120,F931-0700 
454093130,F931-0800 
454093140,F931-0910 
454093150,F931-1030 
454093190,F931-1255 
454093160,F931-1630 
454093170,F931-1730 
454093280,F932-0600 
454093230,F932-0630 
454093220,F932-0715 
454093250,F932-0820 
454093260,F932-0950 
454093290,F932-1110 
454093240,F932-1630 
454093390,F933-0620學生專車 
454093310,F933-0635 
454093300,F933-0710 
454093380,F933-0800 
454093320,F933-0920 
454093330,F933-1030 
454093340,F933-1130 
454093350,F933-1330 
454093360,F933-1430 
454093370,F933-1530 
454084000,吉林線 
454093500,直潭里線 
454093600,貢寮區學生專車 
454099900,塗潭平日線 
454099960,塗潭假日線 
454084500,福連線 
454084100,龍崗線 
0152000A00,內科快線1 
0152000B00,內科快線2 
152000200,內科通勤專車2 
152000300,內科通勤專車3 
152000500,內科通勤專車5 
152000600,內科通勤專車6 
152000700,內科通勤專車7 
152000800,內科通勤專車8 
152001000,內科通勤專車10 
152001100,內科通勤專車11 
152001200,內科通勤專車12 
152001300,內科通勤專車13 
152001500,內科通勤專車15 
152001600,內科通勤專車16 
152001700,內科通勤專車17 
152001800,內科通勤專車18 
152001900,內科通勤專車19 
152002000,內科通勤專車20 
152002100,內科通勤專車21 
152005400,雙園巴士 
152003000,南軟通勤專車中和線 
152003100,南軟通勤專車天母線 
152003200,南軟通勤專車北投線 
152003400,南軟通勤專車雙和線 
400005700,57
400009900,99
400026400,264
400062400,624
400062470,624綠野香坡 
400063700,637
400065600,656
400066700,667
400070400,704
400070420,704區 
400070500,705
400070600,706
400078800,788
461078820,788區 
400078870,788海科館 
400079100,791
400079120,791區 
400079170,791繞貢寮 
400079190,791經貢寮區衛生 
400079570,795往木柵(台灣好行-木柵平溪線) 
400079580,795往平溪(台灣好行-木柵平溪線) 
400079500,795往十分寮(台灣好行-木柵平溪線) 
400081300,813
400081900,819
400084900,849
400084970,849屈尺社區 
400085700,857
400086000,860
400086200,862
400088000,880
400092300,923
400093600,936
400093680,936A 
410098100,981
410098200,982
415000500,橘5 
412001500,藍15 
411002200,紅22 
412002200,藍22 
412003800,藍38 
161000600,中山幹線 
161000200,仁愛幹線 
161000100,內湖幹線 
100062000,北環幹線 
161000300,民生幹線 
161001300,民權幹線 
161000700,和平幹線 
161001100,忠孝幹線 
161000900,承德幹線 
113001600,東環幹線 
161000400,松江新生幹線 
161001200,信義幹線 
161001400,南京幹線 
113000100,南環幹線 
161001000,重慶幹線 
161001500,基隆路幹線 
161000800,復興幹線 
161000500,敦化幹線 
161001600,羅斯福路幹線 
162003000,兒樂1號線 
162003100,兒樂2號線 
162001000,懷恩專車S31 
162001100,懷恩專車S32 
162001200,懷恩專車S33 
162001300,懷恩專車S34 
162001400,懷恩專車S35 
162002000,貓空右線 
162002100,貓空左線(指南宮) 
162002200,貓空左線(動物園) 
463085300,853跳蛙 
463093900,939跳蛙 
463001200,淡水-國道1號-南港車站 
463003000,汐止-台北101 
463005400,三重-內科 
463009500,三峽-中和高中 
463002600,三峽-內科 
463000300,三峽-捷運台大醫院站 
463000400,三峽-捷運永寧站 
463004000,三峽-捷運府中站 
463004500,三峽-臺北市信義區 
463003600,土城金城路-樹林大安路 
463008500,土城-南天母廣場 
463007700,中和左岸社區-捷運頂溪站 
463007500,中和自立路-新店 
463004600,中和-新北板橋公車站 
463007900,中和環河西路-永和仁愛路 
463003100,五股-內湖科技園區 
463009100,北大社區-捷運頂埔站 
463005200,台北小城-大坪林 
463005100,石門-捷運紅樹林站 
